datetime[day](),building_d_daily_total[MWh](float32)
01/01/2022,2.99
02/01/2022,3.01
03/01/2022,3.54
04/01/2022,3.1
05/01/2022,2.13
06/01/2022,2.94
07/01/2022,1.04
08/01/2022,3.13
09/01/2022,2.59
10/01/2022,2.29
11/01/2022,2.74
12/01/2022,2.25
13/01/2022,1.88
14/01/2022,3.06
15/01/2022,3.63
16/01/2022,4.02
17/01/2022,2.66
18/01/2022,2.73
19/01/2022,1.98
20/01/2022,2.76
21/01/2022,4.59
22/01/2022,1.06
23/01/2022,1.91
24/01/2022,2.77
25/01/2022,3.08
26/01/2022,2.13
27/01/2022,2.9
28/01/2022,2.33
29/01/2022,2.89
30/01/2022,3.36
31/01/2022,2.45
01/02/2022,1.96
02/02/2022,1.9
03/02/2022,0.61
04/02/2022,2.24
05/02/2022,2.79
06/02/2022,2.01
07/02/2022,1.9
08/02/2022,2.6
09/02/2022,2.55
10/02/2022,1.71
11/02/2022,1.92
12/02/2022,2.01
13/02/2022,2.33
14/02/2022,2.02
15/02/2022,1.84
16/02/2022,3.07
17/02/2022,1.59
18/02/2022,2.08
19/02/2022,2.84
20/02/2022,1.8
21/02/2022,2.68
22/02/2022,3.56
23/02/2022,2.76
24/02/2022,0.97
25/02/2022,1.63
26/02/2022,1.87
27/02/2022,1.65
28/02/2022,2.44
01/03/2022,2.35
02/03/2022,1.7
03/03/2022,2.03
04/03/2022,2
05/03/2022,2.02
06/03/2022,1.63
07/03/2022,1.69
08/03/2022,0.81
09/03/2022,2.54
10/03/2022,1.76
11/03/2022,2.22
12/03/2022,1.86
13/03/2022,1.41
14/03/2022,3.26
15/03/2022,1.52
16/03/2022,2.5
17/03/2022,1.71
18/03/2022,2.3
19/03/2022,1.85
20/03/2022,2.01
21/03/2022,2.36
22/03/2022,2.52
23/03/2022,1.94
24/03/2022,1.19
25/03/2022,2.12
26/03/2022,2.15
27/03/2022,2.69
28/03/2022,2.15
29/03/2022,1.63
30/03/2022,1.09
31/03/2022,2.12
01/04/2022,0
02/04/2022,0.82
03/04/2022,2.64
04/04/2022,0.49
05/04/2022,2.53
06/04/2022,1.38
07/04/2022,1.73
08/04/2022,0
09/04/2022,2.2
10/04/2022,1.06
11/04/2022,1.88
12/04/2022,0
13/04/2022,1.73
14/04/2022,0.47
15/04/2022,1.5
16/04/2022,0.71
17/04/2022,0
18/04/2022,1.35
19/04/2022,1.41
20/04/2022,1.75
21/04/2022,0.47
22/04/2022,0.48
23/04/2022,0.17
24/04/2022,0.85
25/04/2022,0.63
26/04/2022,1.93
27/04/2022,0.8
28/04/2022,2.51
29/04/2022,2.75
30/04/2022,1.79
01/05/2022,0.01
02/05/2022,0
03/05/2022,0.61
04/05/2022,0
05/05/2022,1.1
06/05/2022,0.01
07/05/2022,0.23
08/05/2022,0.78
09/05/2022,0
10/05/2022,0.86
11/05/2022,0.47
12/05/2022,0.49
13/05/2022,0.65
14/05/2022,0
15/05/2022,0
16/05/2022,0
17/05/2022,0.51
18/05/2022,0.87
19/05/2022,0
20/05/2022,0.61
21/05/2022,0
22/05/2022,0
23/05/2022,0
24/05/2022,0.45
25/05/2022,0
26/05/2022,0.64
27/05/2022,0.4
28/05/2022,0
29/05/2022,0
30/05/2022,0
31/05/2022,0
01/06/2022,0
02/06/2022,0
03/06/2022,0
04/06/2022,0.55
05/06/2022,0.44
06/06/2022,0.7
07/06/2022,1.41
08/06/2022,0
09/06/2022,0
10/06/2022,0.49
11/06/2022,0.98
12/06/2022,0
13/06/2022,0.4
14/06/2022,1.33
15/06/2022,0
16/06/2022,0.51
17/06/2022,0
18/06/2022,0.47
19/06/2022,0.77
20/06/2022,0
21/06/2022,0
22/06/2022,0.83
23/06/2022,1.19
24/06/2022,0.62
25/06/2022,0.24
26/06/2022,0
27/06/2022,0.74
28/06/2022,0.49
29/06/2022,0.03
30/06/2022,0.53
01/07/2022,0
02/07/2022,0
03/07/2022,0
04/07/2022,0
05/07/2022,0
06/07/2022,0
07/07/2022,0
08/07/2022,0
09/07/2022,0
10/07/2022,0
11/07/2022,0
12/07/2022,0
13/07/2022,0
14/07/2022,0
15/07/2022,0
16/07/2022,0
17/07/2022,0
18/07/2022,0
19/07/2022,0
20/07/2022,0
21/07/2022,0
22/07/2022,0
23/07/2022,0
24/07/2022,0
25/07/2022,0
26/07/2022,0
27/07/2022,0
28/07/2022,0
29/07/2022,0
30/07/2022,0
31/07/2022,0
01/08/2022,0
02/08/2022,0
03/08/2022,0
04/08/2022,0
05/08/2022,0
06/08/2022,0
07/08/2022,0
08/08/2022,0
09/08/2022,0
10/08/2022,0
11/08/2022,0
12/08/2022,0
13/08/2022,0
14/08/2022,0
15/08/2022,0
16/08/2022,0
17/08/2022,0
18/08/2022,0
19/08/2022,0
20/08/2022,0
21/08/2022,0
22/08/2022,0
23/08/2022,0
24/08/2022,0
25/08/2022,0
26/08/2022,0
27/08/2022,0
28/08/2022,0
29/08/2022,0
30/08/2022,0
31/08/2022,0
01/09/2022,0.59
02/09/2022,0.43
03/09/2022,0.38
04/09/2022,0.53
05/09/2022,0.85
06/09/2022,0.44
07/09/2022,0.71
08/09/2022,0.5
09/09/2022,0.59
10/09/2022,0.46
11/09/2022,0.46
12/09/2022,0
13/09/2022,0.61
14/09/2022,0
15/09/2022,0.44
16/09/2022,0.6
17/09/2022,0.48
18/09/2022,0.45
19/09/2022,0.47
20/09/2022,0.68
21/09/2022,0.36
22/09/2022,0.17
23/09/2022,0.53
24/09/2022,0.01
25/09/2022,0.5
26/09/2022,0
27/09/2022,0.51
28/09/2022,0.43
29/09/2022,0.48
30/09/2022,0.43
01/10/2022,0.95
02/10/2022,0.95
03/10/2022,1.11
04/10/2022,1.17
05/10/2022,0.95
06/10/2022,0.56
07/10/2022,0.73
08/10/2022,0.92
09/10/2022,0.73
10/10/2022,1.38
11/10/2022,1.5
12/10/2022,1.81
13/10/2022,1.35
14/10/2022,0.86
15/10/2022,0.73
16/10/2022,1.6
17/10/2022,1.02
18/10/2022,1.66
19/10/2022,1.29
20/10/2022,0.45
21/10/2022,0.5
22/10/2022,0.58
23/10/2022,1.64
24/10/2022,1.36
25/10/2022,1.57
26/10/2022,0.42
27/10/2022,0.54
28/10/2022,1.24
29/10/2022,0.59
30/10/2022,1.41
31/10/2022,1.29
01/11/2022,1.82
02/11/2022,1.45
03/11/2022,1.97
04/11/2022,2.35
05/11/2022,1.6
06/11/2022,2.6
07/11/2022,1.94
08/11/2022,1.91
09/11/2022,2.24
10/11/2022,2.35
11/11/2022,1.22
12/11/2022,2.37
13/11/2022,1.73
14/11/2022,1.35
15/11/2022,2.25
16/11/2022,2.2
17/11/2022,1.87
18/11/2022,2.75
19/11/2022,2.02
20/11/2022,1.63
21/11/2022,1.25
22/11/2022,1.25
23/11/2022,2.22
24/11/2022,1.77
25/11/2022,2.49
26/11/2022,2.12
27/11/2022,1.9
28/11/2022,1.53
29/11/2022,1.3
30/11/2022,2.28
01/12/2022,1.93
02/12/2022,2.67
03/12/2022,1.56
04/12/2022,1.66
05/12/2022,1.84
06/12/2022,1.47
07/12/2022,2.18
08/12/2022,2.71
09/12/2022,2.43
10/12/2022,1.6
11/12/2022,1.38
12/12/2022,1.99
13/12/2022,2.59
14/12/2022,1.79
15/12/2022,1.78
16/12/2022,2.8
17/12/2022,2.88
18/12/2022,1.38
19/12/2022,0.23
20/12/2022,2.7
21/12/2022,1.04
22/12/2022,2.13
23/12/2022,1.34
24/12/2022,2.69
25/12/2022,1.73
26/12/2022,2.2
27/12/2022,2.21
28/12/2022,1.21
29/12/2022,1.87
30/12/2022,0.82
31/12/2022,1.22
01/01/2023,2.85
02/01/2023,1.77
03/01/2023,3.09
04/01/2023,1.63
05/01/2023,2.62
