datetime[month](),building_e_monthly_total[MWh](float32)
2022-01,65.53
2022-02,53.12
2022-03,44.82
2022-04,32.16
2022-05,10.8
2022-06,10.08
2022-07,0
2022-08,0
2022-09,13.57
2022-10,31.27
2022-11,42.57
2022-12,47.19
2023-01,62.07
2023-02,51.43
2023-03,46.08
2023-04,35.29
2023-05,13.78
2023-06,9.98
2023-07,0
2023-08,0
2023-09,12.7
2023-10,28.12
2023-11,43.13
2023-12,45.44
2024-01,63.71
2024-02,47.09
2024-03,47.46
2024-04,36.35
2024-05,12.28
2024-06,9.41
2024-07,0
2024-08,0
2024-09,11.66
2024-10,27.75
2024-11,48.33
2024-12,43.87
2025-01,64.52
2025-02,43.04
2025-03,49.84
2025-04,37.53
2025-05,12.77
2025-06,9.25
2025-07,0
2025-08,0
2025-09,11.26
2025-10,29.95
2025-11,48.06
2025-12,43.78
2026-01,63.04
2026-02,14.32
